,id,cold_sensitivity,user_style,item_type,item_subtype,item_style,item_color,item_warmth,is_waterproof,is_windproof,weather_coldness,is_rain,is_snow,is_windy,liked
179,179,high,official,bottom,sweatpants,street,multicolor,3,0,0,4,0,1,1,0
180,180,low,outdoor,top,turtleneck,casual,yellow,2,0,0,4,0,0,1,0
181,181,high,sport,top,longsleeve,casual,black,2,0,0,4,0,0,0,0
182,182,high,outdoor,bottom,shorts,street,blue,1,0,0,1,1,0,0,1
183,183,low,party,top,cardigan,official,beige,1,0,0,2,1,0,0,0
184,184,low,outdoor,bottom,jeans,party,grey,2,0,0,1,0,0,0,0
185,185,low,street,bottom,sweatpants,outdoor,yellow,2,0,0,4,0,0,0,0
186,186,low,street,bottom,trousers,official,khaki,2,0,0,4,0,0,0,0
187,187,low,casual,top,longsleeve,sport,purple,1,0,0,3,0,1,0,0
188,188,medium,official,top,tshirt,sport,grey,1,0,0,2,0,0,0,1
189,189,high,casual,bottom,joggers,casual,white,2,0,0,2,1,0,0,1
190,190,medium,casual,top,longsleeve,casual,green,2,0,0,3,0,0,0,1
191,191,high,casual,top,cardigan,casual,yellow,2,0,0,2,1,0,1,1
192,192,medium,street,top,bodysuit,casual,navy,1,0,0,4,0,0,0,0
193,193,medium,official,top,shirt,casual,grey,1,0,0,4,0,0,0,0
194,194,low,sport,bottom,joggers,sport,green,2,0,0,1,0,0,0,1
195,195,medium,outdoor,bottom,sweatpants,street,yellow,3,0,0,2,1,0,0,0
196,196,low,outdoor,top,jumpsuit,street,grey,2,0,0,4,1,0,0,0
197,197,medium,official,bottom,sweatpants,street,navy,2,0,0,4,0,0,0,0
198,198,medium,street,bottom,shorts,sport,red,1,0,0,4,0,1,1,0
199,199,low,sport,bottom,jeans,casual,black,2,0,0,2,0,0,1,1
200,200,low,official,bottom,jeans,casual,grey,2,0,0,3,0,0,0,1
201,201,medium,casual,bottom,joggers,sport,orange,2,0,0,2,0,0,0,1
202,202,low,casual,bottom,skirt,casual,blue,1,0,0,3,1,0,1,0
203,203,low,sport,outerwear,jacket,casual,black,2,1,0,3,0,0,1,1
204,204,high,official,outerwear,bomber,party,yellow,2,0,0,3,0,0,0,0
205,205,high,outdoor,top,blazer,party,white,2,0,0,4,0,0,0,0
206,206,medium,casual,top,zip_hoodie,sport,pink,2,0,0,4,0,0,0,0
207,207,low,party,bottom,shorts,sport,red,1,0,0,3,0,1,0,0
208,208,medium,official,bottom,joggers,sport,beige,2,0,0,3,0,0,1,1
209,209,medium,sport,top,longsleeve,street,green,1,0,0,1,0,0,0,1
210,210,medium,sport,bottom,joggers,sport,purple,2,0,0,4,0,1,0,0
211,211,medium,official,top,bodysuit,party,multicolor,1,0,0,4,0,1,1,0
212,212,high,sport,top,hoodie,outdoor,brown,2,0,0,3,0,0,1,0
213,213,medium,official,bottom,trousers,casual,navy,2,0,0,4,0,0,0,0
214,214,high,outdoor,bottom,skirt,official,orange,2,0,0,2,0,0,0,1
215,215,medium,official,top,blazer,official,black,2,0,0,2,0,0,0,1
216,216,high,street,top,turtleneck,casual,beige,2,0,0,1,0,0,0,1
217,217,medium,outdoor,top,cardigan,official,white,1,0,0,3,0,0,0,0
218,218,high,street,top,hoodie,street,multicolor,2,0,0,1,0,0,1,1
219,219,low,casual,top,tank_top,street,multicolor,1,0,0,2,0,0,1,1
220,220,medium,casual,top,jumpsuit,casual,purple,2,0,0,2,0,0,0,1
221,221,low,casual,top,jumpsuit,casual,blue,1,0,0,2,0,0,0,1
222,222,medium,sport,outerwear,fur_coat,official,blue,3,0,1,1,1,0,1,0
223,223,high,party,outerwear,jacket,street,yellow,2,0,1,4,0,1,0,0
224,224,low,outdoor,top,cardigan,official,beige,1,0,0,3,0,1,1,0
225,225,high,outdoor,bottom,trousers,casual,black,1,0,0,2,0,0,1,0
226,226,medium,sport,outerwear,fur_coat,party,navy,4,0,1,3,0,0,1,0
227,227,medium,street,bottom,trousers,official,brown,1,0,0,2,1,0,0,0
228,228,medium,outdoor,bottom,skirt,official,black,2,0,0,4,1,0,0,0
229,229,medium,party,outerwear,jeans_jacket,casual,navy,2,0,0,3,0,1,0,0
230,230,low,official,outerwear,puffer,casual,blue,3,1,0,4,0,1,1,1
231,231,medium,official,bottom,skirt,official,navy,2,0,0,3,0,1,1,1
232,232,high,outdoor,top,shirt,party,khaki,1,0,0,2,0,0,1,0
233,233,low,sport,bottom,sweatpants,street,red,2,0,0,4,0,0,1,0
234,234,medium,street,top,bodysuit,party,red,1,0,0,1,1,0,1,1
235,235,medium,outdoor,top,turtleneck,official,white,2,0,0,4,0,0,0,0
236,236,low,party,bottom,trousers,official,khaki,1,0,0,2,0,0,0,1
237,237,medium,sport,top,cardigan,casual,navy,2,0,0,4,0,0,1,0
238,238,high,party,bottom,sweatpants,outdoor,brown,2,0,0,2,1,0,1,0
239,239,medium,street,top,longsleeve,casual,grey,1,0,0,1,1,0,1,1
240,240,low,official,top,zip_hoodie,street,orange,3,0,0,4,0,0,1,0
241,241,medium,outdoor,top,turtleneck,casual,black,2,0,0,3,0,0,1,1
242,242,low,official,bottom,trousers,party,brown,2,0,0,3,0,0,1,1
243,243,medium,party,bottom,skirt,official,brown,2,0,0,2,0,0,0,1
244,244,low,casual,outerwear,trench,casual,brown,1,1,1,1,0,0,0,1
245,245,high,party,top,shirt,official,blue,1,0,0,2,0,0,0,1
246,246,medium,casual,bottom,joggers,street,multicolor,2,0,0,1,0,0,1,1
247,247,low,sport,outerwear,biker_jacket,casual,beige,2,0,1,3,0,0,0,1
248,248,low,outdoor,bottom,joggers,street,navy,2,0,0,2,0,0,0,1
249,249,high,outdoor,bottom,sweatpants,street,orange,2,0,0,4,0,1,0,0
250,250,medium,official,top,cardigan,casual,black,1,0,0,2,0,0,1,1
251,251,medium,sport,top,tshirt,casual,beige,1,0,0,2,0,0,0,1
252,252,medium,casual,bottom,trousers,casual,brown,2,0,0,3,1,0,1,1
253,253,medium,party,top,shirt,party,navy,1,0,0,1,1,0,0,1
254,254,high,casual,bottom,trousers,official,beige,2,0,0,2,0,0,0,1
255,255,medium,outdoor,outerwear,puffer,outdoor,yellow,3,0,1,2,0,0,1,1
256,256,low,official,bottom,trousers,official,blue,1,0,0,1,1,0,0,1
257,257,low,casual,bottom,joggers,casual,grey,2,0,0,4,0,1,1,0
258,258,high,outdoor,bottom,joggers,street,orange,2,0,0,1,0,0,1,1
259,259,medium,casual,outerwear,windbreaker,sport,pink,1,1,1,2,0,0,0,1
260,260,medium,casual,bottom,trousers,casual,beige,1,0,0,3,0,1,1,0
261,261,high,party,bottom,sweatpants,street,green,3,0,0,1,0,0,1,0
262,262,low,official,top,jumpsuit,street,yellow,2,0,0,3,1,0,0,0
263,263,medium,casual,bottom,jeans,casual,grey,2,0,0,2,0,0,1,1
264,264,medium,outdoor,bottom,sweatpants,outdoor,red,2,0,0,1,0,0,0,1
265,265,high,outdoor,bottom,jeans,casual,brown,2,0,0,2,0,0,0,1
266,266,low,casual,bottom,skirt,official,navy,1,0,0,1,0,0,1,1
267,267,medium,party,bottom,skirt,official,beige,2,0,0,4,0,0,0,0
268,268,high,outdoor,outerwear,biker_jacket,street,white,2,0,1,4,1,0,1,0
269,269,medium,party,top,hoodie,outdoor,beige,3,0,0,1,0,0,1,0
270,270,medium,outdoor,bottom,trousers,casual,khaki,2,0,0,2,1,0,1,0
271,271,low,street,outerwear,puffer,street,green,3,1,1,1,0,0,0,0
272,272,high,official,top,hoodie,casual,brown,2,0,0,2,0,0,1,1
273,273,low,casual,top,bodysuit,casual,grey,1,0,0,4,0,0,1,0
274,274,medium,casual,top,dress,official,khaki,2,0,0,1,1,0,1,1
275,275,high,official,bottom,trousers,official,grey,2,0,0,3,0,0,1,1
276,276,high,party,top,longsleeve,street,red,2,0,0,3,0,0,1,1
277,277,high,sport,top,cardigan,official,multicolor,1,0,0,1,0,0,0,1
278,278,medium,party,top,longsleeve,casual,green,2,0,0,2,0,0,0,1
279,279,high,casual,bottom,sweatpants,sport,beige,2,0,0,4,0,0,1,0
280,280,high,casual,top,tank_top,street,navy,1,0,0,4,0,0,1,0
281,281,medium,official,top,blazer,party,pink,1,0,0,1,0,0,1,0
282,282,medium,party,bottom,jeans,casual,red,2,0,0,2,0,0,0,1
283,283,high,party,top,blazer,party,black,2,0,0,4,0,0,0,0
284,284,high,official,bottom,trousers,casual,black,2,0,0,4,0,1,1,0
285,285,high,street,bottom,jeans,party,yellow,2,0,0,1,1,0,0,1
286,286,medium,casual,bottom,skirt,official,navy,1,0,0,2,0,0,1,1
287,287,low,official,bottom,jeans,party,grey,2,0,0,3,0,1,0,0
288,288,medium,sport,bottom,joggers,street,blue,2,0,0,4,0,0,0,0
289,289,medium,casual,top,cardigan,casual,khaki,1,0,0,4,0,0,0,0
290,290,high,casual,top,shirt,official,khaki,1,0,0,4,0,1,1,0
291,291,high,casual,bottom,shorts,sport,multicolor,1,0,0,2,0,0,1,1
292,292,high,official,bottom,shorts,outdoor,purple,1,0,0,1,0,0,0,0
293,293,high,sport,bottom,trousers,casual,red,1,0,0,2,0,0,1,1
294,294,medium,street,top,cardigan,official,grey,1,0,0,4,0,1,1,0
295,295,high,official,bottom,skirt,casual,khaki,2,0,0,4,0,1,0,0
296,296,medium,outdoor,bottom,shorts,street,black,1,0,0,2,0,0,0,1
297,297,medium,party,bottom,sweatpants,sport,purple,3,0,0,4,0,0,0,1
298,298,medium,party,top,dress,casual,beige,1,0,0,4,1,0,0,0
299,299,low,sport,top,jumpsuit,street,pink,2,0,0,2,0,0,0,1
300,300,medium,party,top,cardigan,casual,khaki,2,0,0,2,0,0,1,1
301,301,low,outdoor,bottom,skirt,party,orange,2,0,0,3,0,1,0,0
302,302,low,party,bottom,shorts,street,blue,1,0,0,2,1,0,0,0
303,303,high,official,outerwear,trench,casual,beige,1,1,1,4,0,0,1,0
304,304,low,party,bottom,sweatpants,sport,grey,3,0,0,4,0,0,0,0
305,305,medium,outdoor,top,zip_hoodie,casual,khaki,2,0,0,3,1,0,0,0
306,306,high,party,bottom,joggers,casual,brown,2,0,0,4,0,0,0,0
307,307,medium,official,bottom,skirt,party,grey,1,0,0,1,0,0,0,1
308,308,medium,official,bottom,shorts,casual,grey,1,0,0,1,0,0,1,1
309,309,low,sport,outerwear,jeans_jacket,street,grey,2,0,1,3,0,0,0,1
310,310,medium,party,bottom,jeans,party,navy,2,0,0,2,1,0,0,1
311,311,medium,outdoor,top,turtleneck,casual,beige,2,0,0,1,1,0,0,0
312,312,medium,street,top,cardigan,official,blue,2,0,0,3,0,0,0,1
313,313,low,official,top,longsleeve,casual,white,1,0,0,3,0,0,0,0
314,314,high,street,top,zip_hoodie,outdoor,black,3,0,0,2,1,0,1,0
315,315,low,outdoor,outerwear,coat,official,beige,4,1,1,3,0,0,1,0
316,316,high,street,bottom,trousers,party,multicolor,1,0,0,1,0,0,0,1
317,317,low,street,bottom,jeans,casual,grey,2,0,0,3,1,0,1,1
318,318,high,casual,top,turtleneck,official,brown,2,0,0,3,0,0,1,1
319,319,medium,party,bottom,shorts,outdoor,grey,1,0,0,2,1,0,1,0
320,320,medium,official,outerwear,jeans_jacket,casual,grey,2,0,0,1,0,0,0,0
321,321,high,official,bottom,trousers,official,brown,2,0,0,4,0,1,1,0
322,322,low,official,outerwear,jacket,street,black,3,1,1,3,0,0,0,1
323,323,high,outdoor,top,dress,official,grey,2,0,0,4,0,0,1,0
324,324,medium,sport,bottom,joggers,street,multicolor,2,0,0,3,0,1,1,1
325,325,medium,street,bottom,trousers,casual,yellow,2,0,0,2,0,0,0,1
326,326,medium,street,bottom,skirt,casual,pink,1,0,0,1,0,0,0,1
327,327,high,street,top,tshirt,party,red,1,0,0,4,0,0,0,0
328,328,medium,party,top,zip_hoodie,outdoor,green,3,0,0,2,0,0,0,0
329,329,low,official,top,dress,party,white,2,0,0,2,1,0,1,0
330,330,medium,official,outerwear,windbreaker,outdoor,white,1,1,1,2,0,0,1,1
331,331,medium,street,top,turtleneck,official,grey,2,0,0,1,0,0,0,1
332,332,medium,sport,bottom,joggers,sport,yellow,2,0,0,4,0,0,0,0
333,333,low,official,bottom,jeans,party,khaki,2,0,0,1,0,0,0,0
334,334,medium,street,outerwear,jeans_jacket,casual,blue,2,0,0,4,0,0,1,0
335,335,high,sport,bottom,sweatpants,street,khaki,2,0,0,4,1,0,1,0
336,336,high,casual,bottom,skirt,party,multicolor,2,0,0,3,0,0,1,0
337,337,medium,casual,outerwear,biker_jacket,street,white,2,0,0,2,1,0,0,1
338,338,low,street,bottom,shorts,sport,multicolor,1,0,0,4,0,1,0,0
339,339,high,sport,outerwear,bomber,party,red,2,1,1,4,0,0,0,0
340,340,low,official,top,tshirt,party,navy,1,0,0,1,0,0,0,1
341,341,low,party,top,cardigan,casual,navy,1,0,0,2,0,0,0,1
342,342,low,sport,outerwear,puffer,outdoor,blue,4,0,1,4,0,0,0,1
343,343,high,casual,top,dress,casual,navy,1,0,0,4,0,1,1,0
344,344,low,outdoor,outerwear,fur_coat,official,white,4,0,1,2,1,0,1,0
345,345,medium,outdoor,top,longsleeve,street,purple,1,0,0,1,0,0,0,1
346,346,low,party,top,blazer,party,yellow,1,0,0,1,0,0,0,1
347,347,low,casual,bottom,joggers,street,khaki,2,0,0,4,0,1,0,0
348,348,high,street,top,turtleneck,official,khaki,2,0,0,3,1,0,0,0
349,349,high,party,bottom,joggers,street,navy,2,0,0,3,0,1,1,0
350,350,low,casual,outerwear,jeans_jacket,street,pink,2,0,0,4,0,0,0,0
351,351,low,street,bottom,skirt,party,purple,2,0,0,1,0,0,0,1
352,352,medium,party,top,shirt,party,brown,1,0,0,4,0,0,0,0
353,353,medium,sport,top,cardigan,official,beige,2,0,0,1,1,0,1,0
